,er,a,ai,ao,an,o,ou,e,ei,en,iu,ui,un,ang,eng,ong,i,ie,in,ing,u,ü,üe,ün,ia,iao,ian,iang,iong,ua,uai,uan,uang,uo,üan,-i,-ng,ê
b,,ba,bai,bao,ban,bo,,,bei,ben,,,,bang,beng,,bi,bie,bin,bing,bu,,,,,biao,bian,,,,,,,,,,,
p,,pa,pai,pao,pan,po,pou,,pei,pen,,,,pang,peng,,pi,pie,pin,ping,pu,,,,,piao,pian,,,,,,,,,,,
m,,ma,mai,mao,man,mo,mou,me,mei,men,miu,,,mang,meng,,mi,mie,min,ming,mu,,,,,miao,mian,,,,,,,,,,m,
f,,fa,,,fan,fo,fou,,fei,fen,,,,fang,feng,,,,,,fu,,,,,,,,,,,,,,,,,
d,,da,dai,dao,dan,,dou,de,dei,den,diu,dui,dun,dang,deng,dong,di,die,,ding,du,,,,dia,diao,dian,,,,,duan,,duo,,,,
t,,ta,tai,tao,tan,,tou,te,tei,,,tui,tun,tang,teng,tong,ti,tie,,ting,tu,,,,,tiao,tian,,,,,tuan,,tuo,,,,
n,,na,nai,nao,nan,,nou,ne,nei,nen,niu,,,nang,neng,nong,ni,nie,nin,ning,nu,nü,nüe,,,niao,nian,niang,,,,nuan,,nuo,,,n,
l,,la,lai,lao,lan,lo,lou,le,lei,,liu,,lun,lang,leng,long,li,lie,lin,ling,lu,lü,lüe,,lia,liao,lian,liang,,,,luan,,luo,,,,
g,,ga,gai,gao,gan,,gou,ge,gei,gen,,gui,gun,gang,geng,gong,,,,,gu,,,,,,,,,gua,guai,guan,guang,guo,,,,
k,,ka,kai,kao,kan,,kou,ke,kei,ken,,kui,kun,kang,keng,kong,,,,,ku,,,,,,,,,kua,kuai,kuan,kuang,kuo,,,,
h,,ha,hai,hao,han,,hou,he,hei,hen,,hui,hun,hang,heng,hong,,,,,hu,,,,,,,,,hua,huai,huan,huang,huo,,,hng,
j,,,,,,,,,,,jiu,,,,,,ji,jie,jin,jing,,ju,jue,jun,jia,jiao,jian,jiang,jiong,,,,,,juan,,,
q,,,,,,,,,,,qiu,,,,,,qi,qie,qin,qing,,qu,que,qun,qia,qiao,qian,qiang,qiong,,,,,,quan,,,
x,,,,,,,,,,,xiu,,,,,,xi,xie,xin,xing,,xu,xue,xun,xia,xiao,xian,xiang,xiong,,,,,,xuan,,,
zh,,zha,zhai,zhao,zhan,,zhou,zhe,zhei,zhen,,zhui,zhun,zhang,zheng,zhong,,,,,zhu,,,,,,,,,zhua,zhuai,zhuan,zhuang,zhuo,,zhi,,
ch,,cha,chai,chao,chan,,chou,che,,chen,,chui,chun,chang,cheng,chong,,,,,chu,,,,,,,,,chua,chuai,chuan,chuang,chuo,,chi,,
sh,,sha,shai,shao,shan,,shou,she,shei,shen,,shui,shun,shang,sheng,,,,,,shu,,,,,,,,,shua,shuai,shuan,shuang,shuo,,shi,,
r,,,,rao,ran,,rou,re,,ren,,rui,run,rang,reng,rong,,,,,ru,,,,,,,,,rua,,ruan,,ruo,,ri,,
z,,za,zai,zao,zan,,zou,ze,zei,zen,,zui,zun,zang,zeng,zong,,,,,zu,,,,,,,,,,,zuan,,zuo,,zi,,
c,,ca,cai,cao,can,,cou,ce,,cen,,cui,cun,cang,ceng,cong,,,,,cu,,,,,,,,,,,cuan,,cuo,,ci,,
s,,sa,sai,sao,san,,sou,se,,sen,,sui,sun,sang,seng,song,,,,,su,,,,,,,,,,,suan,,suo,,si,,
y,,ya,,yao,yan,yo,you,,,,,,,yang,,yong,,,,,,,,,,,,,,,,,,,,,,
w,,wa,wai,,wan,wo,,,wei,wen,,,,wang,weng,,,,,,,,,,,,,,,,,,,,,,,
,er,a,ai,ao,an,o,ou,e,ei,en,,,,ang,eng,,yi,ye,yin,ying,wu,yu,yue,yun,,,,,,,,,,,yuan,,ng,ê
